(10, 0.000001)
(20, 0.000001)
(40, 0.000002)
(80, 0.000004)
(160, 0.000008)
(320, 0.000018)
(640, 0.000038)
(1280, 0.000082)
(2560, 0.000176)
(5120, 0.000379)
(10240, 0.000818)
(20480, 0.001813)
(40960, 0.003181)
(81920, 0.006845
) 
(163840, 0.014551)
(327680, 0.031517)
(655360, 0.069282)
(1310720, 0.152195)
(2621440, 0.369074)
(5242880, 0.836048)
(10485760, 2.210076)
(20971520, 4.911016)
(41943040, 10.791628)
(83886080, 25.075090)
(167772160, 53.781858)
(335544320, 118.230318)







///// MERGE
 
(10, 0.000002)
(20, 0.000005)
(40, 0.000008)
(80, 0.000016)
(160, 0.000031)
(320, 0.000067)
(640, 0.000141)
(1280, 0.000310)
(2560, 0.000668)
(5120, 0.001443)
(10240, 0.000813)
(20480, 0.001258)
(40960, 0.002694)
(81920, 0.006055)
(163840, 0.012223)
(327680, 0.025424)
(655360, 0.053308)
(1310720, 0.111334)
(2621440, 0.232450)
(5242880, 0.490090)
(10485760, 1.018367)
(20971520, 2.173764)
(41943040, 4.436050)
(83886080, 9.256506)
(167772160, 19.169308)
(335544320, 39.880480)
(671088640, 111.874418)
